"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Lat.100","Long.100"
"S.116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.30531205,-4.828615822
"S.1160",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0850808088642,-3.93212545633298
"S.1161",NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,57.0850808088642,-3.93212545633298
"S.1162",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.1209926329068,-3.93399577483628
"S.1163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.1210943132631,-3.9273936698338
"S.1164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.1211196790696,-3.92574313675254
"S.1165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,57.122017475853,-3.9257897513768
"S.1166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,57.122017475853,-3.9257897513768
"S.1167",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,57.0942110221127,-3.92269662509821
"S.1168",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.0951088243792,-3.9227431181728
"S.1169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,57.0960066264917,-3.92278961396628
"S.117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,57.30620923,-4.828684758
"S.1170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.0915429082319,-3.92090793863819
"S.1171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.0933385152626,-3.92100083157087
"S.1172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,57.0933385152626,-3.92100083157087
"S.1173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,57.0942363185472,-3.92104728211127
"S.1174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,57.0951341216779,-3.92109373536802
"S.1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.0933637891425,-3.91935152568333
"S.1176",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,0,0,57.0933637891425,-3.91935152568333
"S.1177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,57.0942615932906,-3.919397936408
"S.1179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.0890259280501,-3.9092248148151
"S.118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.30437754,-4.830204538
"S.1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,57.2553699692983,-3.90124485128229
"S.1181",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.1145890104733,-3.88246380222366
"S.1182",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.1146137832235,-3.880813515376
"S.1183",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.1167982547694,-3.87894229633479
"S.1184",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.1171771671224,-3.87764016266554
"S.1185",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.1155610864215,-3.87755837021975
"S.1186",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,57.1169127640568,-3.87729645130131
